LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID5634,5634,11,17.21700668,7.31307983,4.516902248,0,20,4,0.65,1,,361.5891473,349,181,640,46645,116.2633468,0.213421491,1.094029492
ID5575,5575,11,18.2883606,7.205534539,4.516902248,0,5,1,0.65,1,,374.1317829,348,146,845,48263,134.6720774,0.224448488,1.01848164
ID5703,5703,11,20.15386391,7.205534539,4.516902248,0,25,5,0.65,1,,392.9922481,376,155,846,50696,142.1380544,0.241749048,1.076550854
ID5595,5595,11,18.56404686,7.31307983,4.516902248,0,15,3,0.65,1,,375.255814,347,173,748,48408,136.0116194,0.218393616,0.989085279
ID5613,5613,11,19.79685593,7.31307983,4.516902248,0,0,0,0.65,1,,385.2790698,358,155,1000,49701,165.4522201,0.230432524,0.872205432
ID5683,5683,12,17.18662071,20.97133187,4.947083415,0,10,2,0.65,1,,289.3023256,221,129,1019,37320,189.970993,0.23323234,0.576021233
ID5576,5576,12,17.16404533,21.07887716,4.947083415,0,5,1,0.65,1,,294.6821705,223,130,1200,38014,204.4056546,0.222636309,0.525036691
ID5614,5614,12,16.99670982,20.97133187,5.054628706,0,0,0,0.65,1,,285.0852713,204,127,1253,36776,202.4472165,0.237090355,0.539765886
ID5685,5685,13,16.66823196,25.27314353,5.377264581,0,10,2,0.65,1,,297.4883721,230,132,762,38376,156.396687,0.230679637,0.713077423
ID5577,5577,13,17.45354843,25.27314353,5.377264581,0,5,1,0.65,1,,306.4031008,236,138,872,39526,167.7135541,0.232591191,0.689491937
ID5616,5616,14,27.40818214,29.79004578,10.75452916,0,0,0,0.65,1,,403.3023256,308,149,1312,52026,222.0242669,0.35133331,0.944532971
ID5637,5637,14,20.94362068,29.79004578,10.324348,0,20,4,0.65,1,,331.9612403,257,150,1216,42823,199.1318817,0.289293532,0.748106618
ID5687,5687,14,27.88617134,29.68250049,10.43189329,0,10,2,0.65,1,,380.6899225,286,148,1072,49109,222.0210364,0.35770848,0.903503743
ID5706,5706,14,21.45913887,29.79004578,10.43189329,0,25,5,0.65,1,,333.4031008,267,154,999,43009,174.430346,0.310925266,0.906683409
ID5579,5579,14,25.88820076,29.79004578,10.43189329,0,5,1,0.65,1,,371.5581395,281,147,1068,47931,219.5183971,0.332423662,0.844569601
ID5597,5597,14,24.83446693,29.5749552,10.43189329,0,15,3,0.65,1,,360.627907,259,147,1230,46521,223.5585099,0.324095945,0.789682044
ID5602,5602,15,21.48069382,30.32777224,20.5411507,0,15,3,0.65,1,,416.5193798,345,135,1279,53731,249.4784591,0.228847708,0.62184287
ID5746,5746,15,18.43249321,30.97304399,20.43360541,0,40,8,0.65,1,,297.8914729,253,129,626,38428,130.1439852,0.291341281,1.032820755
ID5622,5622,15,24.32084465,29.89759107,20.75624128,0,0,0,0.65,1,,495.1317829,471,149,1140,63872,247.8867364,0.276998892,0.866532832
ID5642,5642,15,18.27841949,30.22022695,20.5411507,0,20,4,0.65,1,,397.0310078,361,129,1057,51217,191.7364703,0.206129583,0.707776353
ID5658,5658,15,19.39255905,30.97304399,20.43360541,0,35,7,0.65,1,,306.9534884,254,133,650,39597,140.0224792,0.299328792,1.010029914
ID5692,5692,15,23.24150085,30.43531753,20.5411507,0,10,2,0.65,1,,410.5581395,359,133,1367,52962,257.2842515,0.281514456,0.701081731
ID5583,5583,15,26.34012604,30.00513636,20.5411507,0,5,1,0.65,1,,510.6976744,449,121,1386,65880,278.8071299,0.316428169,0.880578285
ID5711,5711,15,17.34727287,30.22022695,20.43360541,0,25,5,0.65,1,,390.4496124,359,133,930,50368,173.7410502,0.179776453,0.684897582
ID5731,5731,16,26.09060097,26.67123232,21.61660362,0,50,10,0.65,1,,396.3410853,309,164,1343,51128,239.9982909,0.278457944,0.719389521
ID5604,5604,16,49.33922577,27.96177582,21.61660362,0,15,3,0.65,1,,625.496124,534,176,1600,80689,338.4487619,0.426278272,1.104715937
ID5860,5860,16,21.8292942,26.45614174,21.8316942,0,80,16,0.65,1,,340.1860465,257,162,888,43884,190.3982573,0.299172045,0.822882575
ID5892,5892,16,18.52542114,26.77877761,21.61660362,0,85,17,0.65,1,,355.5968992,295,154,982,45872,178.4520033,0.223797576,0.728806644
ID5924,5924,16,22.26861763,26.56368703,21.93923949,0,95,19,0.65,1,,379.0077519,290,167,1328,48892,230.0547658,0.217904168,0.589520992
ID5767,5767,16,21.39211273,26.56368703,21.61660362,0,60,12,0.65,1,,381.8914729,313,155,1210,49264,214.8838073,0.23700631,0.681011209
ID5644,5644,16,49.20866013,27.85423053,21.61660362,0,20,4,0.65,1,,632.1162791,549,217,1543,81543,307.6867479,0.440019399,1.25551429
ID5804,5804,16,22.60864067,26.56368703,21.8316942,0,45,9,0.65,1,,378.8682171,321,167,1391,48874,226.0861762,0.263244307,0.698418604
ID5584,5584,16,31.46529961,27.96177582,21.40151303,0,5,1,0.65,1,,532.6046512,461,196,1488,68706,279.9136144,0.293346099,0.863130549
ID5712,5712,16,39.82994461,27.85423053,21.61660362,0,25,5,0.65,1,,580.9379845,534,194,1501,74941,271.0227663,0.360257677,1.135392587
ID5841,5841,16,26.74223137,26.34859645,21.93923949,0,70,14,0.65,1,,367.9534884,279,148,1021,47466,215.3034146,0.365733431,0.915315301
ID5874,5874,16,26.77831459,26.45614174,21.93923949,0,75,15,0.65,1,,364.7751938,268,158,977,47056,210.6847185,0.354210857,0.905728082
ID5907,5907,16,25.44275475,26.67123232,21.72414891,0,90,18,0.65,1,,367.9302326,290,158,1170,47463,206.6958509,0.335985078,0.89532785
ID5748,5748,16,18.26821136,27.74668524,21.50905832,0,40,8,0.65,1,,427.6821705,405,230,756,55171,114.7577601,0.199072397,1.237470111
ID5623,5623,16,21.14237785,27.74668524,21.72414891,0,0,0,0.65,1,,427.3410853,400,163,919,55127,154.2877029,0.231892844,1.042768121
ID5943,5943,16,16.94130707,26.67123232,21.8316942,0,100,20,0.65,1,,336.0620155,277,150,900,43352,161.2603074,0.192798681,0.673688057
ID5786,5786,16,23.57786369,26.56368703,21.72414891,0,55,11,0.65,1,,395.2248062,306,153,1265,50984,219.6961766,0.273146378,0.77191379
