LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID11916,11916,9,33.87516403,18.28269958,14.51861437,0,15,3,0.65,1,,414.1627907,247,134,1823,53427,361.6886133,0.389794321,0.642319656
ID11805,11805,9,36.33186722,17.9600637,14.62615966,0,20,4,0.65,1,,425.248062,262,139,1942,54857,373.6349119,0.409563053,0.661395374
ID11725,11725,9,62.88313675,19.57324308,15.16388612,0,35,7,0.65,1,,640.8682171,345,170,3661,82672,670.5137767,0.525483312,0.658479853
ID11888,11888,10,121.7148819,13.87334262,13.55070674,0,5,1,0.65,1,,1075.736434,683,190,4132,138770,987.0087031,0.642619496,0.852769807
ID11861,11861,10,31.81390381,13.33561616,15.59406729,0,25,5,0.65,1,,709.6046512,647,262,1465,91539,294.1220362,0.140233208,0.593438979
ID11751,11751,10,117.9395065,13.98088791,13.55070674,0,10,2,0.65,1,,1054.387597,626,166,3976,136016,974.9520205,0.614160598,0.822966675
ID11832,11832,10,115.6509705,13.87334262,13.44316145,0,0,0,0.65,1,,1053.232558,634,224,4272,135867,958.7580468,0.625007264,0.845035605
ID11914,11914,10,116.3349075,13.87334262,13.65825204,0,15,3,0.65,1,,1093.643411,708,164,4860,141080,1035.473803,0.606533748,0.797501921
ID11806,11806,10,30.79510498,14.62615966,14.73370495,0,20,4,0.65,1,,515.496124,455,213,1339,66499,242.267515,0.286351739,0.947327843
ID11776,11776,11,110.3925934,12.7978897,14.41106908,0,30,6,0.65,1,,1198.829457,906,251,4652,154649,950.195425,0.529407474,0.873456592
ID11969,11969,11,118.2123108,13.22807087,14.30352379,0,50,10,0.65,1,,1182.069767,803,228,4435,152487,971.3169393,0.500817366,0.812201293
ID12161,12161,11,80.51761627,13.65825204,13.33561616,0,90,18,0.65,1,,804.2325581,392,163,4982,103746,903.3191877,0.588317804,0.65954586
ID12550,12550,11,32.95508957,10.96961975,13.87334262,0,150,30,0.65,1,,562.0232558,459,176,1565,72501,329.6121647,0.239822363,0.659646501
ID12232,12232,11,79.53809357,13.65825204,13.22807087,0,100,20,0.65,1,,962.2945736,559,221,5987,124136,992.6047599,0.524225531,0.666853777
ID12041,12041,11,97.58867645,13.22807087,14.0884332,0,60,12,0.65,1,,984.1395349,633,206,3507,126954,842.1433847,0.442166506,0.716590539
ID12491,12491,11,50.67976761,11.93752737,13.33561616,0,145,29,0.65,1,,691.9844961,471,182,2755,89266,543.7182891,0.230746981,0.477221133
ID11724,11724,11,120.7146301,12.69034441,14.51861437,0,35,7,0.65,1,,1295.581395,1007,221,3951,167130,932.5891353,0.536391073,0.970027649
ID11917,11917,11,75.43852997,12.36770854,15.05634083,0,15,3,0.65,1,,822.4806202,597,172,2640,106100,565.4078603,0.529595891,1.007306709
ID12109,12109,11,113.3203659,13.65825204,12.69034441,0,75,15,0.65,1,,925.7364341,371,151,6763,119420,1326.970248,0.644482786,0.546812151
ID12368,12368,11,56.99769592,11.93752737,12.15261795,0,120,24,0.65,1,,693.4573643,590,245,1700,89456,388.2767821,0.496901265,1.185728574
ID12432,12432,11,70.75791931,12.04507266,13.01298029,0,140,28,0.65,1,,831.8062016,469,206,4462,107303,878.5649616,0.338584987,0.478960852
ID11859,11859,11,141.2737579,12.58279912,14.73370495,0,25,5,0.65,1,,1473.248062,1099,325,5227,190049,1067.330424,0.564208731,0.995754051
ID12179,12179,11,112.5838394,13.65825204,12.7978897,0,80,16,0.65,1,,927.7829457,380,166,5523,119684,1217.957697,0.650826571,0.600631357
ID12311,12311,11,44.42247772,11.93752737,12.15261795,0,115,23,0.65,1,,550.1085271,427,212,1380,70964,311.9684539,0.405155127,1.016868416
ID11992,11992,11,112.4361725,13.01298029,14.19597849,0,55,11,0.65,1,,1072.100775,667,191,4801,138301,982.3669984,0.552261817,0.776554398
ID11807,11807,11,106.6083221,12.47525383,14.94879554,0,20,4,0.65,1,,1118.589147,783,214,4149,144298,936.2229937,0.461094286,0.754106687
ID12065,12065,11,101.3559418,13.33561616,13.98088791,0,65,13,0.65,1,,1098.379845,772,188,3631,141691,808.8990608,0.46223579,0.858488297
ID12257,12257,11,105.0937195,13.65825204,13.33561616,0,95,19,0.65,1,,932.0077519,398,170,5467,120229,1182.674046,0.584391783,0.581334334
ID11942,11942,11,139.825058,12.90543499,14.19597849,0,40,8,0.65,1,,1380.271318,1132,238,4294,178055,985.2225459,0.609366288,1.060922455
ID12518,12518,11,39.32255554,10.96961975,13.98088791,0,155,31,0.65,1,,539.0620155,372,157,1533,69539,358.7409352,0.352036041,0.782504151
ID12137,12137,11,98.87250519,13.55070674,13.12052558,0,85,17,0.65,1,,838.8914729,354,162,5313,108217,1080.44716,0.613924776,0.590696116
ID11754,11754,11,43.29837036,11.72243679,15.16388612,0,10,2,0.65,1,,721.2093023,733,266,1232,93036,235.1441936,0.391657535,1.726359212
ID12463,12463,11,59.63700867,12.15261795,11.93752737,0,130,26,0.65,1,,680.255814,490,191,2511,87753,540.0684603,0.463936457,0.79834336
ID12209,12209,11,60.41011429,13.55070674,13.12052558,0,105,21,0.65,1,,827.4496124,538,192,5306,106741,845.05169,0.39986959,0.559395638
ID12401,12401,11,68.52690887,12.04507266,13.22807087,0,135,27,0.65,1,,851.2945736,570,218,3443,109817,715.5838897,0.335314569,0.597472805
ID12018,12018,11,132.7949982,12.90543499,14.41106908,0,45,9,0.65,1,,1397.077519,1134,338,3838,180223,888.4701354,0.584730835,1.160401159
ID12338,12338,11,78.18489838,12.04507266,12.04507266,0,125,25,0.65,1,,789.8682171,502,192,2564,101893,632.9103212,0.520223526,0.854132005
ID11891,11891,11,59.08521271,11.6148915,15.3789767,0,5,1,0.65,1,,874.4031008,836,306,1977,112798,374.7059789,0.420597033,1.381803737
ID12087,12087,11,77.44915009,13.33561616,13.12052558,0,70,14,0.65,1,,848.7984496,427,176,4868,109495,923.1370969,0.556333867,0.65735671
ID11835,11835,11,72.42262268,11.72243679,15.3789767,0,0,0,0.65,1,,787.3410853,622,211,2143,101567,482.2784546,0.536250383,1.139726538
ID12283,12283,11,42.47314835,13.44316145,12.90543499,0,110,22,0.65,1,,581.3255814,282,147,4659,74991,840.7920295,0.240497605,0.268086947
ID12162,12162,12,77.58085632,17.63742783,14.62615966,0,90,18,0.65,1,,927.3178295,767,228,2616,119624,550.8952371,0.457752762,1.057150181
ID11779,11779,12,37.13645935,16.13179374,15.70161258,0,30,6,0.65,1,,618.9922481,566,287,1303,79850,230.2448254,0.289095468,1.205817351
ID11972,11972,12,75.16023254,16.88461078,16.13179374,0,50,10,0.65,1,,993.3643411,808,311,2950,128144,596.2496716,0.365529158,0.891931408
ID12551,12551,12,81.81087494,15.91670316,13.87334262,0,150,30,0.65,1,,954.6046512,596,225,4681,123144,899.0428193,0.51474239,0.721646186
ID12233,12233,12,55.56381607,17.42233724,14.73370495,0,100,20,0.65,1,,939.124031,890,308,2508,121147,387.143667,0.419335872,1.433367742
ID12492,12492,12,63.58639145,16.13179374,13.76579733,0,145,29,0.65,1,,737.6976744,489,199,3380,95163,649.4429296,0.407072526,0.657238092
